test_id,title,applicability,status,source_commit,installed_release,machine_versions,started_at,ended_at,observed_result,evidence_path,reused_evidence_commit,defect_id,reviewer
F-00,"Exact build, update, migration and telemetry identity",Required,NOT RUN,,,,,,,,,,
F-01,"Fresh install and Claude ownership boundaries",Required,NOT RUN,,,,,,,,,,
F-02,"Installer/update failure, uninstall and recovery ownership",Required,NOT RUN,,,,,,,,,,
F-03,"Stranded cancellation repair",Required,NOT RUN,,,,,,,,,,
F-04,"Bounded #60 model/assurance protected lifecycle",Required,NOT RUN,,,,,,,,,,
F-05,"Continuity under checkpoint, compact, clear and restart",Required,NOT RUN,,,,,,,,,,
F-06,"Concurrent sessions and cross-project isolation",Required,NOT RUN,,,,,,,,,,
F-07,"Simple-task anti-overengineering and context discipline",Required,NOT RUN,,,,,,,,,,
F-08,"Project-agent authority and governor-confirmed gap acquisition",Required,NOT RUN,,,,,,,,,,
F-09,"Real parallel fan-out, provenance and dependency join",Required,NOT RUN,,,,,,,,,,
F-10,"Retry isolation, latest-plan invariant and write-scope safety",Required,NOT RUN,,,,,,,,,,
F-11,"SEO-style multi-domain end-to-end synthesis",Required,NOT RUN,,,,,,,,,,
F-12,"Independent judgmental product acceptance, pass and fail",Required,NOT RUN,,,,,,,,,,
F-13,"Procedure and durable knowledge reuse with provenance/scope",Required,NOT RUN,,,,,,,,,,
F-14,"Onboarding and retrieval baseline",Required,NOT RUN,,,,,,,,,,
F-15,"One realistic day and final verdict",Required,NOT RUN,,,,,,,,,,
