test_id,title,applicability,status,source_commit,machine_versions,started_at,ended_at,observed_result,evidence_path,defect_id,reviewer
LV-00,Release identity and isolated target,Required,NOT RUN,,,,,,,,
LV-01,Junior-user fresh install,Required,NOT RUN,,,,,,,,
LV-02,Non-default path and native encoding,Required,NOT RUN,,,,,,,,
LV-03,Plugin discovery and native login,Required,NOT RUN,,,,,,,,
LV-04,Secure first start,Required,NOT RUN,,,,,,,,
LV-05,Failed setup and existing-role protection,Required,NOT RUN,,,,,,,,
LV-06,Duplicate setup request and interruption,Required,NOT RUN,,,,,,,,
LV-07,Real PostgreSQL migration and test journeys,Required,NOT RUN,,,,,,,,
LV-08,Material task checkpoint,Required,NOT RUN,,,,,,,,
LV-09,Clear and fresh MCP session identity,Required,NOT RUN,,,,,,,,
LV-10,"Compaction, exit and abrupt termination",Required,NOT RUN,,,,,,,,
LV-11,Two concurrent sessions and tasks,Required,NOT RUN,,,,,,,,
LV-12,Protected validator happy path,Required,NOT RUN,,,,,,,,
LV-13,Stale or forged validation rejection,Required,NOT RUN,,,,,,,,
LV-14,Approval semantics,Required,NOT RUN,,,,,,,,
LV-15,First Excel result and correction,Required,NOT RUN,,,,,,,,
LV-16,Accepted procedure and day-two reuse,Required,NOT RUN,,,,,,,,
LV-17,"Procedure retries, candidates and held optimization",Required,NOT RUN,,,,,,,,
LV-18,Model policy and telemetry,Required,NOT RUN,,,,,,,,
LV-19,Preference provenance and negation,Required,NOT RUN,,,,,,,,
LV-20,Ice-cube observation with limited evidence,Required,NOT RUN,,,,,,,,
LV-21,"Knowledge lifecycle, evidence and supersession",Required,NOT RUN,,,,,,,,
LV-22,Cross-project and global scope,Required,NOT RUN,,,,,,,,
LV-23,Normal mechanical onboarding,Required,NOT RUN,,,,,,,,
LV-24,Hostile and unusual documents,Required,NOT RUN,,,,,,,,
LV-25,Mutable files and review decisions,Required,NOT RUN,,,,,,,,
LV-26,Lexical retrieval without embeddings,Required,NOT RUN,,,,,,,,
LV-27,Actual optional embedding runtime,Optional,NOT RUN,,,,,,,,
LV-28,"Worker crash, model change and leases",Optional,NOT RUN,,,,,,,,
LV-29,Chairman engineering journey,Required,NOT RUN,,,,,,,,
LV-30,Optional Codex adapter,Optional,NOT RUN,,,,,,,,
LV-31,Semantic graph and provenance,Required,NOT RUN,,,,,,,,
LV-32,Manual refresh with exact reviewed delta,Required,NOT RUN,,,,,,,,
LV-33,Staged update and source independence,Required,NOT RUN,,,,,,,,
LV-34,Caught update failure and abrupt journal recovery,Required,NOT RUN,,,,,,,,
LV-35,Uninstall/reinstall data preservation,Required,NOT RUN,,,,,,,,
LV-36,Explicit local cleanup and owned paths,Required,NOT RUN,,,,,,,,
LV-37,One realistic day and final verdict,Required,NOT RUN,,,,,,,,
